text,label
You're looking really cute today ğŸ˜‰,flirt
I canâ€™t stop thinking about you,flirt
Your smile is stuck in my mind ğŸ˜,flirt
Good morning beautiful â¤ï¸,flirt
You make everything better,flirt
I like the way you talk,flirt
Iâ€™m kinda into you,flirt
Talking to you feels special,flirt
You have the most amazing eyes,flirt
I miss your voice already,flirt
You looked amazing yesterday ğŸ˜‰,flirt
Iâ€™d love to spend more time with you,flirt
Youâ€™re so charming,flirt
I enjoy your company more than you know,flirt
I was hoping you'd text ğŸ˜Œ,flirt
You always make me smile,flirt
I love when you compliment me,flirt
Youâ€™re incredibly attractive,flirt
I feel a little spark with you,flirt
You make my day brighter,flirt
Why do you have to be so cute?,flirt
I want to get to know you better,flirt
You always catch my attention ğŸ˜‰,flirt
Someone like you is hard to forget,flirt
I love talking with you late at night,flirt
You smell really nice today,flirt
"I can't deny it, I like you",flirt
You give me butterflies ğŸ˜³,flirt
I love the way you smile,flirt
You make everything more fun,flirt
I was thinking about you all morning,flirt
I adore your sense of humor,flirt
Youâ€™re cuter than you think,flirt
I like the way you look at me,flirt
I enjoy talking to you a lot,flirt
I feel comfortable with you,flirt
You're kinda irresistible,flirt
I like your vibe,flirt
You always brighten my mood,flirt
I can't help smiling when I see your name,flirt
You're sweet in your own way,flirt
You're fun to be around,flirt
I like being near you,flirt
You're more charming than you realize,flirt
You make my heart race a little,flirt
I like how caring you are,flirt
I enjoy our little conversations,flirt
I was hoping we could hang out sometime,flirt
You looked adorable today,flirt
Your voice sounds so warm and cute,flirt
I feel happy whenever you text me,flirt
I like your energy,flirt
You always make me laugh,flirt
I like your confidence,flirt
Youâ€™re the first person I wanted to talk to today,flirt
You make boring days feel exciting,flirt
I love your positivity,flirt
I enjoy spending time with you,flirt
I like how you think,flirt
Youâ€™re surprisingly cute,flirt
I love your smile more than you know,flirt
You have a special place in my day,flirt
Your messages always brighten my mood,flirt
You make me feel appreciated,flirt
I like how expressive you are,flirt
I can talk to you for hours,flirt
You look amazing without even trying,flirt
I love your personality,flirt
Youâ€™re the sweetest person I know,flirt
I like your style,flirt
You make things feel lighter,flirt
I feel connected to you,flirt
Youâ€™re adorable when you're shy,flirt
Iâ€™d like to know more about you,flirt
I like when you tease me,flirt
It's hard not to smile when you message me,flirt
You make my evenings better,flirt
Youâ€™re cute even when you're serious,flirt
I like the way you express yourself,flirt
You always find a way to make me laugh,flirt
I enjoy the way you talk,flirt
I like the attention you give me,flirt
Youâ€™re easy to talk to,flirt
You look really good today,flirt
I like your sense of style,flirt
I canâ€™t help liking you a little,flirt
Youâ€™re fun to text at night,flirt
I feel a little chemistry here,flirt
Youâ€™re cuter every time we talk,flirt
Youâ€™re genuinely attractive,flirt
I like the way you think of things,flirt
I enjoy the spark between us,flirt
Youâ€™re charming without trying,flirt
I like the way you react to things,flirt
Youâ€™re kind of addictive to talk to,flirt
You always make me feel good,flirt
I love the small things you say,flirt
You look cute when youâ€™re focused,flirt
I like your smile,flirt
,
Please send me the report by evening,not_flirt
Meeting starts at 4 PM,not_flirt
Did you finish the task?,not_flirt
"The server is down, restart it",not_flirt
I will call you after work,not_flirt
Share the details with the team,not_flirt
We need to submit this project soon,not_flirt
Can you check the email?,not_flirt
The file is on the desktop,not_flirt
Letâ€™s discuss this tomorrow,not_flirt
Donâ€™t forget the meeting link,not_flirt
This needs approval first,not_flirt
I will update you shortly,not_flirt
Send the invoice to the client,not_flirt
Let me know if there is an issue,not_flirt
The system update may take time,not_flirt
Team meeting is postponed,not_flirt
Share your availability,not_flirt
I will forward the document,not_flirt
Please check the attachment,not_flirt
Give me the final version,not_flirt
The results will be ready soon,not_flirt
You can join the call at 3,not_flirt
We are waiting for your response,not_flirt
Send me the location,not_flirt
The printer is not working,not_flirt
Upload the file to the shared folder,not_flirt
Please send the updated list,not_flirt
Your login password has expired,not_flirt
The project deadline is next Monday,not_flirt
Iâ€™ll inform the manager,not_flirt
Restart the application,not_flirt
Check if the system is updated,not_flirt
Please send your feedback,not_flirt
The package has been delivered,not_flirt
I will send the schedule soon,not_flirt
Call me when you are free,not_flirt
The meeting room is booked,not_flirt
Share the presentation slides,not_flirt
Let me know once it's done,not_flirt
I will send the link again,not_flirt
Please confirm your attendance,not_flirt
The internet is slow today,not_flirt
We have to finalize the document,not_flirt
Please send your ID proof,not_flirt
There is an error in the report,not_flirt
The file is too large to upload,not_flirt
Iâ€™ll send the corrected version,not_flirt
Inform me once you reach,not_flirt
The network connection is unstable,not_flirt
Please update the spreadsheet,not_flirt
Send the final copy,not_flirt
Your submission is overdue,not_flirt
I will notify the team,not_flirt
Schedule the meeting soon,not_flirt
Upload it to the drive,not_flirt
Your system needs to restart,not_flirt
Please check the logs,not_flirt
Let me know your availability,not_flirt
The backup process failed,not_flirt
Send the corrected data,not_flirt
Please verify the numbers,not_flirt
Update the software version,not_flirt
Make sure the form is complete,not_flirt
I will share the report soon,not_flirt
Check the settings once,not_flirt
The request has been approved,not_flirt
The file is waiting for review,not_flirt
You need to sign the document,not_flirt
Please check your inbox,not_flirt
The meeting link isn't working,not_flirt
Letâ€™s coordinate the next steps,not_flirt
Submit the details today,not_flirt
Your ID is required for access,not_flirt
Send the location pin,not_flirt
Confirm the date and time,not_flirt
Share the new document,not_flirt
Please upload the attachment,not_flirt
Check the status and update me,not_flirt
Send me the updated timeline,not_flirt
Iâ€™ll share the revised version,not_flirt
Let me know when you're available,not_flirt
The server maintenance is scheduled,not_flirt
Please resend the file,not_flirt
Check the availability for tomorrow,not_flirt
The client is requesting changes,not_flirt
Please complete the form,not_flirt
Upload the evidence file,not_flirt
The system requires verification,not_flirt
Send me the confirmation,not_flirt
Review the document once more,not_flirt
Share the summary notes,not_flirt
Please update the record,not_flirt
The file was not attached,not_flirt
I will send the receipt soon,not_flirt
Please forward the email,not_flirt
Check if the file is correct,not_flirt
Share the final report,not_flirt
Your response is pending,not_flirt
Please make the changes,not_flirt
