"30/11/20, 6:57?pm - Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them. Learn more."
"30/11/20, 6:57?pm - Mohanraj: <Media omitted>"
"04/06/21, 11:00?am - Mohanraj: Hi"
"04/06/21, 11:00?am - Mohanraj: Bro sathish na nengaa"
"04/06/21, 12:10?pm - Sathish Lap: Ama pa"
"04/06/21, 12:10?pm - Sathish Lap: Nenga"
"04/06/21, 12:29?pm - Mohanraj: Morning call pannan broo"
"04/06/21, 12:56?pm - Sathish Lap: Ok ok"
"04/06/21, 12:57?pm - Sathish Lap: Coming thuesday ...mrng call pannunga"
"04/06/21, 12:57?pm - Mohanraj: ??"
"07/06/21, 12:58?pm - Mohanraj: Nallaiki varuvingalaa kumbakonam"
"07/06/21, 1:01?pm - Sathish Lap: Mm varuven pa"
"07/06/21, 1:02?pm - Sathish Lap: Call panni kettudu vaanga"
"07/06/21, 1:03?pm - Mohanraj: <Media omitted>"
"07/06/21, 1:04?pm - Sathish Lap: Illa illa...naa nalaikku varuven"
"07/06/21, 1:04?pm - Sathish Lap: Shop open pannuven"
"07/06/21, 1:04?pm - Mohanraj: Ok"
"07/06/21, 1:04?pm - Sathish Lap: Naa ungalukku call pandren"
"07/06/21, 1:04?pm - Mohanraj: Hmm"
"08/06/21, 10:49?am - Mohanraj: Bro kadai open panniringala"
"08/06/21, 12:30?pm - Sathish Lap: Open panniyachu"
"08/06/21, 12:50?pm - Mohanraj: Bro mudincha aluvuku sekkiram pannithanga brooo"
"08/06/21, 12:50?pm - Mohanraj: Lap la tha work panra"
"08/06/21, 12:50?pm - Sathish Lap: ??"
"15/06/21, 3:03?pm - Sathish Lap: Powercable quality Rs 120"
"15/06/21, 3:04?pm - Sathish Lap: Yellow pin big..comportable adapter"
Rs 650

Origional lenovo adapter...Rs 900 /-
"15/06/21, 3:04?pm - Sathish Lap: Both r 6 month warranty"
"15/06/21, 3:05?pm - Sathish Lap: Naalaikku mrng vaankikkalam"
"15/06/21, 3:05?pm - Sathish Lap: <Media omitted>"
"15/06/21, 3:06?pm - Sathish Lap: <Media omitted>"
"15/06/21, 3:06?pm - Sathish Lap: Origional"
"15/06/21, 4:39?pm - Sathish Lap: Bro ?? Achu"
Vaankiyacha
"16/06/21, 9:18?am - Mohanraj: Bro varingalaaa"
"16/06/21, 9:18?am - Sathish Lap: Kelamba poren"
"16/06/21, 9:18?am - Mohanraj: Kk"
"16/06/21, 9:18?am - Sathish Lap: Thirubuvanam home enga iruku??"
"16/06/21, 9:19?am - Mohanraj: Tasmac theriumaa"
"16/06/21, 9:19?am - Sathish Lap: 10.20 ku reach aakiruven"
"16/06/21, 9:19?am - Sathish Lap: Ohh angaya"
"16/06/21, 9:19?am - Mohanraj: Athu kittathaa"
"16/06/21, 9:19?am - Sathish Lap: Ok"
"11/10/21, 12:49?am - Mohanraj: Price evolo jaichinga bro"
"11/10/21, 12:50?am - Sathish Lap: Rs 60"
"11/10/21, 12:50?am - Sathish Lap: ??"
"11/10/21, 12:50?am - Mohanraj: ??"
"11/10/21, 12:51?am - Sathish Lap: <Media omitted>"
"11/10/21, 12:52?am - Mohanraj: ??"
"26/10/21, 12:47?pm - Mohanraj: Bro kadai undaaa"
"03/11/21, 8:27?pm - Sathish Lap: <Media omitted>"
"25/12/21, 6:45?pm - Mohanraj: <Media omitted>"
"25/12/21, 6:46?pm - Sathish Lap: AMD or Intel"
"25/12/21, 6:46?pm - Sathish Lap: Touch pad....silver color"
Touch pad block color
"25/12/21, 6:46?pm - Sathish Lap: Which model"
"25/12/21, 6:47?pm - Sathish Lap: Amd motherboard...Rs 1800"
3 month warranty
"25/12/21, 6:47?pm - Sathish Lap: Intel motherboard"
Rs 2000
3 month warranty
"25/12/21, 6:47?pm - Sathish Lap: ??"
"25/12/21, 6:47?pm - Mohanraj: Unga number thara avara call panna solra"
"25/12/21, 6:47?pm - Sathish Lap: Ok"
"25/12/21, 7:30?pm - Mohanraj: You deleted this message"
"08/01/22, 12:07?pm - Mohanraj: Send me bro"
"08/01/22, 12:07?pm - Sathish Lap: <Media omitted>"
"12/01/22, 1:06?pm - Mohanraj: Acer Gateway NE46 RS"
"12/01/22, 1:07?pm - Mohanraj: Key board kekaikuma bro"
"12/01/22, 1:26?pm - Sathish Lap: Ss"
"12/01/22, 1:27?pm - Mohanraj: Evolo varum bro"
"12/01/22, 1:27?pm - Sathish Lap: Rs 1100"
3 month warranty
Include service charge
"12/01/22, 1:27?pm - Sathish Lap: Inbuild keyboard model"
So price heavy
"12/01/22, 1:27?pm - Sathish Lap: New keyboard"
"12/01/22, 1:27?pm - Sathish Lap: ??"
"12/01/22, 1:28?pm - Mohanraj: Friend ku tha keatu solra ????"
"12/01/22, 1:28?pm - Sathish Lap: Ok"
"12/01/22, 1:28?pm - Sathish Lap: ??"
"27/06/22, 2:35?pm - Sathish Lap: <Media omitted>"
"12/07/22, 10:13?pm - Mohanraj: Bro lap la machine odura sound keakuthuuuu"
"12/07/22, 10:24?pm - Sathish Lap: <Media omitted>"
"12/07/22, 10:24?pm - Mohanraj: ????"
"12/07/22, 10:24?pm - Mohanraj: Thank u broo"
"12/07/22, 10:25?pm - Mohanraj: Free iruntha varaaa"
"12/07/22, 10:32?pm - Sathish Lap: ????"
"24/02/24, 12:01?am - Your security code with Sathish Lap changed. Tap to learn more."
"14/10/25, 5:45?pm - Mohanraj: 2.5inch SATA SSD"
"14/10/25, 5:45?pm - Mohanraj: Brands:"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 5:46?pm - Mohanraj: <Media omitted>"
"14/10/25, 6:24?pm - Mohanraj: 2.5inch SATA SSD"
"14/10/25, 6:24?pm - Mohanraj: Brands:"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 6:25?pm - Mohanraj: 2.5inch SATA SSD"
"14/10/25, 6:25?pm - Mohanraj: Brands:"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 6:24?pm - Sathish Lap: Send pq"
"14/10/25, 6:27?pm - Sathish Lap: Yes"
"14/10/25, 6:27?pm - Sathish Lap: This one branded"
"14/10/25, 6:27?pm - Sathish Lap: All ssd 2.5 inches"
